114.174 4  3.08714 3.344204 -0.124068
114.236 4  3.082103 3.300376 -0.118838
114.354 4  3.076189 3.267192 -0.112378
114.356 4  3.073096 3.707213 -0.10474
114.418 4  3.090588 3.684018 -0.124114
114.418 4  3.089353 3.647501 -0.096483
114.463 4  3.076144 3.61402 -0.135697
114.510 4  3.076077 3.580473 -0.111887
114.587 4  3.075773 3.988566 -0.127592
114.671 4  3.070502 3.954718 -0.110552
114.672 4  3.071415 3.92615 -0.132419
114.741 4  3.072655 3.896884 -0.109455
114.838 4  3.074157 3.866985 -0.124987
114.841 4  3.065749 4.182255 -0.112216
114.902 4  3.066534 4.142424 -0.114636
114.917 4  3.074677 4.109223 -0.12589
114.971 4  3.060962 4.066 -0.092949
115.018 4  3.070709 4.030644 -0.129457
115.132 4  3.074715 4.354651 -0.096837
115.134 4  3.085026 4.321917 -0.119157
115.176 4  3.076454 4.274161 -0.08572
115.219 4  3.062193 4.234872 -0.127495
115.340 4  3.064782 4.202295 -0.089162
115.346 4  3.066975 4.53449 -0.115662
115.435 4  3.073901 4.4855 -0.09729
115.438 4  3.054308 4.430751 -0.117087
115.465 4  3.076141 4.386307 -0.101656
115.513 4  3.066715 4.326305 -0.111613
115.579 4  3.058039 4.704354 -0.095316
115.631 4  3.073608 4.662206 -0.125248
115.662 4  3.075912 4.608374 -0.088849
115.733 4  3.070924 4.552562 -0.118788
115.772 4  3.088929 4.50741 -0.096264
115.885 4  3.06724 4.716679 -0.100854
115.885 4  3.076004 4.674312 -0.095707
115.914 4  3.081053 4.908813 -0.10644
115.962 4  3.066261 4.852102 -0.104008
116.009 4  3.076308 4.808803 -0.103911
116.082 4  3.07988 5.172749 -0.100933
116.172 4  3.070989 5.123265 -0.107748
116.173 4  3.073835 5.078514 -0.100518
116.225 4  3.074993 5.030745 -0.110862
116.332 4  3.057536 4.979774 -0.104285
116.367 4  3.079542 5.408717 -0.113433
116.417 4  3.085709 5.356924 -0.111008
116.418 4  3.081944 5.29507 -0.085499
116.468 4  3.079238 5.254959 -0.119632
116.516 4  3.063478 5.207018 -0.097574
116.635 4  3.042993 5.657944 -0.114502
116.637 4  3.06312 5.617419 -0.121721
116.667 4  3.049451 5.546539 -0.095981
116.729 4  3.062347 5.505864 -0.110776
116.828 4  3.076286 5.469921 -0.092925
116.829 4  3.063817 2.039569 -0.107444
116.913 4  3.070184 2.007124 -0.097113
116.914 4  3.078924 1.968359 -0.109398
116.960 4  3.074937 1.922905 -0.086254
117.008 4  3.062662 1.897132 -0.098361
117.075 4  3.081253 0.819144 -0.093723
117.127 4  3.079653 0.833262 -0.090913
117.166 4  3.084686 0.848425 -0.090978
117.231 4  3.087546 0.859069 -0.082894
117.336 4  3.076775 0.86769 -0.087751
117.337 4  3.085564 0.45862 -0.077388
117.388 4  3.097695 0.450625 -0.081754
117.412 4  3.082399 0.450533 -0.082778
117.460 4  3.097318 0.444419 -0.071075
117.507 4  3.093181 0.417858 -0.08557
117.577 4  3.086441 0.347828 -0.086958
117.664 4  3.090166 0.322876 -0.096406
117.666 4  3.080127 0.288272 -0.094845
117.717 4  3.084441 0.247405 -0.107674
117.786 4  3.080534 0.202573 -0.117454
117.839 4  3.065791 0.362934 -0.101284
117.898 4  3.077174 0.308182 -0.139139
117.913 4  3.076308 0.242077 -0.113776
117.962 4  3.067682 0.17117 -0.125522
118.009 4  3.075343 0.107107 -0.128303
118.131 4  3.077477 0.446333 -0.121235
118.133 4  3.072184 0.379923 -0.121773
118.161 4  3.064962 0.306319 -0.140766
118.234 4  3.072233 0.238052 -0.134353
118.325 4  3.058109 0.42988 -0.128975
118.408 4  3.066957 0.362579 -0.129464
118.409 4  3.071576 0.613884 -0.131975
118.458 4  3.049521 0.536165 -0.109823
118.504 4  3.075451 0.491708 -0.133206
118.570 4  3.069661 0.908234 -0.104561
118.624 4  3.059802 0.853261 -0.112909
118.655 4  3.069403 0.804749 -0.113693
118.725 4  3.059607 0.743631 -0.099733
118.773 4  3.061764 0.703049 -0.106904
118.821 4  3.057869 1.222136 -0.101247
118.896 4  3.05464 1.179527 -0.094493
118.908 4  3.056808 1.141563 -0.109898
118.956 4  3.058032 1.097784 -0.078265
119.009 4  3.062111 1.061249 -0.096137
119.053 4  3.051877 1.508208 -0.089764
119.149 4  3.070026 1.480983 -0.082183
119.150 4  3.070315 1.438015 -0.102653
119.207 4  3.07101 1.392001 -0.075917
119.325 4  3.086621 1.361598 -0.100978
119.388 4  3.075919 1.738338 -0.0804
119.389 4  3.077597 1.70451 -0.100667
119.404 4  3.090843 1.670184 -0.08367
119.458 4  3.084193 1.628546 -0.087073
119.506 4  3.074594 1.589151 -0.08975
119.624 4  3.078024 1.96408 -0.086202
119.625 4  3.078496 1.92866 -0.089934
119.653 4  3.071181 1.894036 -0.094222
119.707 4  3.084046 1.866083 -0.092527
119.760 4  3.070359 1.821439 -0.092193
119.812 4  3.068288 2.158407 -0.102389
119.913 4  3.082155 2.127211 -0.087325
119.914 4  3.075388 2.087584 -0.115212
119.961 4  3.070555 2.047355 -0.091355
119.993 4  3.084394 2.0136 -0.114348
120.057 4  3.087788 2.355902 -0.096787
120.110 4  3.080585 2.311271 -0.105658
120.152 4  3.081457 2.268267 -0.101598
120.212 4  3.065431 2.217949 -0.106131
120.330 4  3.091151 2.189443 -0.103952
120.330 4  3.083116 2.551191 -0.117883
120.403 4  3.080987 2.498244 -0.109792
120.404 4  3.078151 2.450203 -0.10802
120.451 4  3.068166 2.399396 -0.115838
120.501 4  3.074514 2.353096 -0.106307
120.554 4  3.076989 2.729017 -0.112837
120.638 4  3.074129 2.685443 -0.122789
120.654 4  3.078697 2.637568 -0.110063
120.712 4  3.094799 2.588417 -0.124824
120.815 4  3.083219 2.534058 -0.115979
120.816 4  3.061855 2.78847 -0.122127
120.867 4  3.09932 2.756126 -0.142051
120.899 4  3.079415 2.960858 -0.136579
121.003 4  3.074804 2.859498 -0.136738
121.059 4  3.073929 3.228848 -0.092871
121.111 4  3.071655 3.184896 -0.157569
121.169 4  3.069091 3.121279 -0.103197
121.219 4  3.070634 3.075 -0.138978
121.272 4  3.064489 3.026127 -0.108921
121.327 4  3.074556 3.280924 -0.116202
121.399 4  3.070276 3.425923 -0.12379
121.399 4  3.058459 3.376741 -0.099684
121.446 4  3.066787 3.331853 -0.137599
121.505 4  3.082675 3.283764 -0.103931
121.547 4  3.061234 3.545076 -0.128003
121.617 4  3.075923 3.675159 -0.103489
121.647 4  3.068239 3.620572 -0.128704
121.717 4  3.067736 3.571367 -0.088097
121.755 4  3.073284 3.531191 -0.124101
121.863 4  3.082891 3.754178 -0.092909
121.864 4  3.058167 3.886147 -0.113792
121.894 4  3.06505 3.84793 -0.101127
121.953 4  3.064963 3.8089 -0.10708
122.006 4  3.063592 3.772637 -0.108499
122.047 4  3.072474 3.988115 -0.092461
122.154 4  3.063545 4.119111 -0.114341
122.155 4  3.055954 4.08086 -0.089807
122.317 4  3.063576 4.004279 -0.088336
122.319 4  3.071453 4.252381 -0.120736
122.369 4  3.07242 4.358398 -0.097014
122.400 4  3.073528 4.321109 -0.119161
122.443 4  3.079274 4.282418 -0.102095
122.490 4  3.055595 4.238223 -0.124051
122.549 4  3.062794 4.455219 -0.120307
122.605 4  3.068586 4.55808 -0.108653
122.651 4  3.066307 4.517509 -0.113627
122.707 4  3.070474 4.478004 -0.108771
122.758 4  3.069755 4.437947 -0.114894
122.870 4  3.076349 4.627372 -0.116578
122.872 4  3.080731 4.740216 -0.102745
122.892 4  3.071795 4.699389 -0.128385
122.948 4  3.079157 4.657835 -0.110431
122.996 4  3.070952 4.616246 -0.129752
123.050 4  3.071594 4.825593 -0.110914
123.103 4  3.068491 4.950555 -0.152581
123.144 4  3.058574 4.902509 -0.109265
123.208 4  3.071433 4.85856 -0.132988
123.314 4  3.05502 4.802748 -0.123697
123.316 4  3.063034 5.030184 -0.12415
123.366 4  3.073683 4.981139 -0.137732
123.395 4  3.070762 5.196488 -0.100586
123.443 4  3.05415 5.13697 -0.139769
123.486 4  3.05826 5.083842 -0.097785
123.546 4  3.014103 5.289775 -0.146784
123.623 4  3.009706 5.408901 -0.144687
123.637 4  3.060324 5.37163 -0.120669
123.696 4  3.035811 5.295187 -0.120244
123.809 4  3.051165 5.242665 -0.107158
123.810 4  3.051786 5.492871 -0.126561
123.861 4  3.051337 5.634032 -0.092404
123.892 4  3.053578 5.575972 -0.124186
123.935 4  3.050469 5.508231 -0.090938
124.043 4  3.059271 3.051213 -0.108012
124.106 4  3.045871 2.067761 -0.096582
124.138 4  3.062052 2.019291 -0.120577
124.198 4  3.05752 1.95726 -0.096387
124.325 4  3.057609 1.900263 -0.118595
124.327 4  3.060513 1.165623 -0.105739
124.430 4  3.058067 0.905964 -0.097155
124.433 4  3.060276 0.915263 -0.097838
124.444 4  3.067937 0.935865 -0.090091
124.492 4  3.072936 0.950876 -0.092041
124.543 4  3.069543 0.673232 -0.07231
124.597 4  3.077517 0.577053 -0.073896
124.643 4  3.080362 0.57343 -0.072101
124.708 4  3.070662 0.562993 -0.057754
124.749 4  3.077336 0.547734 -0.076265
124.860 4  3.081928 0.496607 -0.059835
124.862 4  3.064498 0.475735 -0.084323
124.890 4  3.072928 0.449561 -0.082479
124.938 4  3.065077 0.408313 -0.099677
124.980 4  3.076083 0.361961 -0.089207
125.042 4  3.073862 0.448354 -0.111508
125.139 4  3.066881 0.489021 -0.091592
125.141 4  3.078898 0.439659 -0.121973
125.193 4  3.077231 0.383725 -0.097962
125.314 4  3.056943 0.330098 -0.12663
125.350 4  3.072741 0.47648 -0.102722
125.382 4  3.074276 0.525767 -0.095149
